2024.06.09-21:42:37 | Вычитывает текстовую базу данных
2024.06.09-21:42:37 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-21:42:38 | В папке: src\crs\resources\input найдено 3 файлов формата txt
2024.06.09-21:42:38 | Начата вычитка 3 файлов
2024.06.09-21:42:38 | Успешно прочитан файл: src\crs\resources\input\inFile7.txt
2024.06.09-21:42:38 | Успешно прочитан файл: src\crs\resources\input\inFile8.txt
2024.06.09-21:42:38 | Успешно прочитан файл: src\crs\resources\input\inFile9.txt
2024.06.09-21:42:38 | Завершена вычитка 3 файлов, успешно 3, провалено 0
2024.06.09-21:44:28 | Вычитывает текстовую базу данных
2024.06.09-21:44:28 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-21:44:29 | В папке: src\crs\resources\input найдено 3 файлов формата txt
2024.06.09-21:44:29 | Начата вычитка 3 файлов
2024.06.09-21:44:29 | Успешно прочитан файл: src\crs\resources\input\inFile7.txt
2024.06.09-21:44:29 | Успешно прочитан файл: src\crs\resources\input\inFile8.txt
2024.06.09-21:44:29 | Успешно прочитан файл: src\crs\resources\input\inFile9.txt
2024.06.09-21:44:29 | Завершена вычитка 3 файлов, успешно 3, провалено 0
2024.06.09-22:29:13 | Вычитывает текстовую базу данных
2024.06.09-22:29:13 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-22:29:14 | В папке: src\crs\resources\input найдено 3 файлов формата txt
2024.06.09-22:29:14 | Начата вычитка 3 файлов
2024.06.09-22:29:14 | Успешно прочитан файл: src\crs\resources\input\inFile7.txt
2024.06.09-22:29:14 | Успешно прочитан файл: src\crs\resources\input\inFile8.txt
2024.06.09-22:29:14 | Успешно прочитан файл: src\crs\resources\input\inFile9.txt
2024.06.09-22:29:14 | Завершена вычитка 3 файлов, успешно 3, провалено 0
2024.06.09-22:37:49 | Вычитывает текстовую базу данных
2024.06.09-22:37:49 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-22:37:49 | В папке: src\crs\resources\input найдено 3 файлов формата txt
2024.06.09-22:37:50 | Начата вычитка 3 файлов
2024.06.09-22:37:50 | Успешно прочитан файл: src\crs\resources\input\inFile7.txt
2024.06.09-22:37:50 | Успешно прочитан файл: src\crs\resources\input\inFile8.txt
2024.06.09-22:37:50 | Успешно прочитан файл: src\crs\resources\input\inFile9.txt
2024.06.09-22:37:50 | Завершена вычитка 3 файлов, успешно 3, провалено 0
2024.06.09-22:54:10 | Вычитывает текстовую базу данных
2024.06.09-22:54:10 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-22:54:11 | В папке: src\crs\resources\input найдено 3 файлов формата txt
2024.06.09-22:54:11 | Начата вычитка 3 файлов
2024.06.09-22:54:11 | Успешно прочитан файл: src\crs\resources\input\inFile7.txt
2024.06.09-22:54:11 | Успешно прочитан файл: src\crs\resources\input\inFile8.txt
2024.06.09-22:54:11 | Успешно прочитан файл: src\crs\resources\input\inFile9.txt
2024.06.09-22:54:11 | Завершена вычитка 3 файлов, успешно 3, провалено 0
